Date,FUND_TOTAL_ASSETS,FUND_NET_ASSET_VAL,TURNOVER,FUND_FLOW,TOT_RETURN_INDEX_GROSS_DVDS,FundTicker,SectorSheet
2021-03-31,405.1021,19.7711,66925690,16.794,30.7355,TXF,Technology
2021-04-30,429.9112,20.6247,45536120,6.1856,32.0084,TXF,Technology
2021-05-31,451.691,20.7095,45876840,16.0727,32.2878,TXF,Technology
2021-06-30,480.8723,21.5743,50555620,7.4116,34.2449,TXF,Technology
2021-07-31,496.7332,22.0853,49750130,8.6078,34.9732,TXF,Technology
2021-08-31,527.4591,22.6048,44407640,14.3576,35.8439,TXF,Technology
2021-09-30,507.7522,21.1958,44041220,12.2635,34.2592,TXF,Technology
2021-10-31,545.62,22.3618,34946430,8.613,36.064,TXF,Technology
2021-11-30,576.7901,23.0085,46757570,6.885,37.0954,TXF,Technology
2021-12-31,583.7298,22.846,45077040,11.4738,37.5601,TXF,Technology
2022-01-31,556.3892,20.7767,84466040,23.1639,34.0635,TXF,Technology
2022-02-28,563.3428,19.9585,75810490,28.2588,32.7666,TXF,Technology
2022-03-31,587.061,19.5521,116493100,30.6195,33.1314,TXF,Technology
2022-04-30,545.6054,16.9933,96436000,36.1121,28.8187,TXF,Technology
2022-05-31,558.7667,16.8666,123785400,16.0286,28.5819,TXF,Technology
2022-06-30,534.9108,14.8613,110524200,41.1611,25.894,TXF,Technology
2022-07-31,613.9491,16.2747,58373720,20.5514,28.3667,TXF,Technology
2022-08-31,605.5627,15.2728,53444500,26.9143,26.6254,TXF,Technology
2022-09-30,533.6889,12.8962,72898410,21.2012,23.1475,TXF,Technology
2022-10-31,567.9987,13.6073,69439640,11.3454,24.4016,TXF,Technology
2022-11-30,607.9527,14.481,63221500,12.7739,25.9424,TXF,Technology
2022-12-31,522.6059,13.0811,95552070,-24.5669,24.1668,TXF,Technology
2023-01-31,558.6832,14.452,77700290,-23.642,26.735,TXF,Technology
2023-02-28,560.1727,14.3148,39817940,5.8725,26.4763,TXF,Technology
2023-03-31,597.3014,15.5005,81387850,-9.1657,29.3671,TXF,Technology
2023-04-30,588.6781,15.2866,30021920,-1.5788,28.9689,TXF,Technology
2023-05-31,638.1427,16.7963,42621740,-7.8383,31.8696,TXF,Technology
2023-06-30,641.8581,17.2073,66165730,-8.5199,33.2591,TXF,Technology
2023-07-31,666.7499,18.1005,39154990,-7.9282,34.9607,TXF,Technology
2023-08-31,653.9741,17.9548,35591800,-7.8852,34.7287,TXF,Technology
2023-09-30,610.263,16.7177,36940260,-0.0846,33.0965,TXF,Technology
2023-10-31,599.8889,16.5885,28640600,-5.0972,32.7997,TXF,Technology
2023-11-30,677.6843,18.6423,41139050,3.4281,36.8552,TXF,Technology
2023-12-31,692.2421,19.309,57070660,-8.2931,38.8985,TXF,Technology
2024-01-31,701.1561,19.9973,61311250,-17.6528,40.2273,TXF,Technology
2024-02-29,738.8333,21.1418,44675220,-3.2257,42.5628,TXF,Technology
2024-03-31,743.3804,21.2222,48268420,0.0033,43.5939,TXF,Technology
2024-04-30,697.2042,20.0051,33583300,-6.175,41.1093,TXF,Technology
2024-05-31,723.9699,20.9142,33929220,-4.3659,42.8752,TXF,Technology
2024-06-30,755.5109,21.9908,92988550,-9.2404,46.2012,TXF,Technology
2024-07-31,737.9839,21.5009,61318040,-3.0451,45.2339,TXF,Technology
2024-08-31,737.0482,21.4272,43375530,1.7032,45.0446,TXF,Technology
2024-09-30,746.0186,21.6455,48669300,1.038,46.6652,TXF,Technology
2024-10-31,730.763,21.131,43788150,0.116,45.6306,TXF,Technology
2024-11-30,770.8251,21.8622,39034410,14.2566,47.2256,TXF,Technology
2024-12-31,742.1967,20.8772,36844220,-0.0459,46.2045,TXF,Technology
2025-01-31,756.9549,21.4471,50662000,-5.2854,47.3988,TXF,Technology
2025-02-28,720.1378,20.499,31074890,-3.2944,45.364,TXF,Technology
2025-03-31,644.7694,18.0359,72935850,11.4755,41.1974,TXF,Technology
2025-04-30,668.3311,18.1433,103780100,19.9033,41.38,TXF,Technology
2025-05-31,704.0775,19.7647,85039830,-23.0761,45.0775,TXF,Technology
2025-06-30,743.8277,20.837,52477430,4.0698,48.8337,TXF,Technology
2025-07-31,745.6369,20.9464,45615990,-3.167,49.0917,TXF,Technology
2025-08-31,760.8324,21.1847,35820630,7.2589,49.725,TXF,Technology
2025-09-30,795.7605,22.5332,40761550,-11.1172,54.0713,TXF,Technology
2025-10-31,831.6102,24.1685,59676320,-22.386,57.9593,TXF,Technology
2015-10-31,,,,,,00770,Technology
2015-11-30,,,,,,00770,Technology
2015-12-31,,,,,,00770,Technology
2016-01-31,,,,,,00770,Technology
2016-02-29,,,,,,00770,Technology
2016-03-31,,,,,,00770,Technology
2016-04-30,,,,,,00770,Technology
2016-05-31,,,,,,00770,Technology
2016-06-30,,,,,,00770,Technology
2016-07-31,,,,,,00770,Technology
2016-08-31,,,,,,00770,Technology
2016-09-30,,,,,,00770,Technology
2016-10-31,,,,,,00770,Technology
2016-11-30,,,,,,00770,Technology
2016-12-31,,,,,,00770,Technology
2017-01-31,,,,,,00770,Technology
2017-02-28,,,,,,00770,Technology
2017-03-31,,,,,,00770,Technology
2017-04-30,,,,,,00770,Technology
2017-05-31,,,,,,00770,Technology
2017-06-30,,,,,,00770,Technology
2017-07-31,,,,,,00770,Technology
2017-08-31,,,,,,00770,Technology
2017-09-30,,,,,,00770,Technology
2017-10-31,,,,,,00770,Technology
2017-11-30,,,,,,00770,Technology
2017-12-31,,,,,,00770,Technology
2018-01-31,,,,,,00770,Technology
2018-02-28,,,,,,00770,Technology
2018-03-31,,,,,,00770,Technology
2018-04-30,,,,,,00770,Technology
2018-05-31,,,,,,00770,Technology
2018-06-30,,,,,,00770,Technology
2018-07-31,,,,,,00770,Technology
2018-08-31,,,,,,00770,Technology
2018-09-30,,,,,,00770,Technology
2018-10-31,,,,,,00770,Technology
2018-11-30,,,,,,00770,Technology
2018-12-31,,,,,,00770,Technology
2019-01-31,1642.0873,20.23,16989010,0,19.73,00770,Technology
2019-02-28,4474.6678,21.5,101718000,2660.95,21.43,00770,Technology
