Date,FUND_TOTAL_ASSETS,FUND_NET_ASSET_VAL,TURNOVER,FUND_FLOW,TOT_RETURN_INDEX_GROSS_DVDS,FundTicker,SectorSheet
2019-08-30,170.87,3.83,,-3.957,3.89,ICPAX,Energy
2019-09-30,170.87,4.04,,-7.5975,4.11,ICPAX,Energy
2019-10-31,165.42,3.97,,-1.7337,4.03,ICPAX,Energy
2019-11-29,158,3.96,,-4.9676,4.02,ICPAX,Energy
2019-12-31,163.7,4.23,,-3.7635,4.37,ICPAX,Energy
2020-01-31,142.93,3.81,,-4.0552,3.93,ICPAX,Energy
2020-02-28,121.37,3.34,,-3.643,3.45,ICPAX,Energy
2020-03-31,73.69,2.08,,-1.8536,2.17,ICPAX,Energy
2020-04-30,88.87,2.55,,-1.0511,2.66,ICPAX,Energy
2020-05-29,89.55,2.62,,-1.4657,2.73,ICPAX,Energy
2020-06-30,87.57,2.54,,-0.8235,2.67,ICPAX,Energy
2020-07-31,88.57,2.59,,-1.4445,2.72,ICPAX,Energy
2020-08-31,88.17,2.63,,-1.543,2.76,ICPAX,Energy
2020-09-30,76.35,2.31,,-1.1923,2.44,ICPAX,Energy
2020-10-30,72.77,2.26,,-1.6308,2.39,ICPAX,Energy
2020-11-30,90.23,2.87,,-1.7046,3.03,ICPAX,Energy
2020-12-31,74.03,3.12,,-0.6712,3.31,ICPAX,Energy
2021-01-29,75.87,3.28,,-0.6712,3.47,ICPAX,Energy
2021-02-26,113.32,3.73,,-5.1742,3.95,ICPAX,Energy
2021-03-31,114.34,3.77,,-0.9198,4.01,ICPAX,Energy
2021-04-30,112.12,3.72,,-0.829,3.95,ICPAX,Energy
2021-05-31,114.73,3.85,,-1.6628,4.09,ICPAX,Energy
2021-06-30,119.57,4.04,,-0.4842,4.3,ICPAX,Energy
2021-07-30,109.5,3.74,,-1.3297,3.98,ICPAX,Energy
2021-08-31,109.72,3.78,,-0.9268,4.02,ICPAX,Energy
2021-09-30,113.75,3.96,,-1.1856,4.23,ICPAX,Energy
2021-10-29,127.62,4.45,,0.0075,4.75,ICPAX,Energy
2021-11-30,119.27,4.14,,-1.5861,4.42,ICPAX,Energy
2021-12-31,117.01,4.09,,-1.1709,4.39,ICPAX,Energy
2022-01-31,125.77,4.36,,-1.4394,4.68,ICPAX,Energy
2022-02-28,134.45,4.68,,-0.9927,5.02,ICPAX,Energy
2022-03-31,146.64,5.07,,-0.6799,5.46,ICPAX,Energy
2022-04-29,136.61,4.76,,-1.1737,5.12,ICPAX,Energy
2022-05-31,158.79,5.43,,-0.8507,5.85,ICPAX,Energy
2022-06-30,134.33,4.58,,-0.6779,4.94,ICPAX,Energy
2022-07-29,147.05,5.07,,-1.0904,5.47,ICPAX,Energy
2022-08-31,149.7,5.19,,-2.5206,5.6,ICPAX,Energy
2022-09-30,131.63,4.58,,-0.4951,4.97,ICPAX,Energy
2022-10-31,157.04,5.46,,-0.2004,5.92,ICPAX,Energy
2022-11-30,159.46,5.62,,-0.9335,6.09,ICPAX,Energy
2022-12-30,147.07,5.21,,-0.9717,5.67,ICPAX,Energy
2023-01-31,152.27,5.43,,-0.8187,5.91,ICPAX,Energy
2023-02-28,141.46,5.09,,-1.0307,5.54,ICPAX,Energy
2023-03-31,134.23,4.82,,-0.3366,5.27,ICPAX,Energy
2023-04-28,131.92,4.84,,-0.6353,5.29,ICPAX,Energy
2023-05-31,119,4.43,,-1.5799,4.85,ICPAX,Energy
2023-06-30,129.32,4.85,,-0.7684,5.32,ICPAX,Energy
2023-07-31,138.78,5.3,,-0.8763,5.81,ICPAX,Energy
2023-08-31,136.81,5.3,,-1.6039,5.81,ICPAX,Energy
2023-09-29,132.88,5.21,,-0.3854,5.73,ICPAX,Energy
2023-10-31,124.43,4.99,,-2.3077,5.49,ICPAX,Energy
2023-11-30,124.63,5.08,,-1.3759,5.59,ICPAX,Energy
2023-12-29,122.07,5.06,,-0.924,5.59,ICPAX,Energy
2024-01-31,114.79,4.86,,-1.4343,5.37,ICPAX,Energy
2024-02-29,120.21,5.14,,-1.3249,5.68,ICPAX,Energy
2024-03-29,128.31,5.56,,-1.3901,6.16,ICPAX,Energy
2024-04-30,120.25,5.45,,-1.0876,6.04,ICPAX,Energy
2024-05-31,122.34,5.62,,-1.3578,6.22,ICPAX,Energy
2024-06-28,119.69,5.55,,-0.7338,6.17,ICPAX,Energy
2024-07-31,122.85,5.77,,-1.4382,6.41,ICPAX,Energy
2024-08-30,119.29,5.67,,-0.5341,6.3,ICPAX,Energy
2024-09-30,116.94,5.59,,-0.318,6.23,ICPAX,Energy
2024-10-31,116.94,5.62,,-0.318,6.27,ICPAX,Energy
2024-11-29,116.94,6.3,,-0.318,7.03,ICPAX,Energy
2024-12-31,116.94,5.88,,-0.318,6.57,ICPAX,Energy
2025-01-31,116.94,6.14,,-0.318,6.86,ICPAX,Energy
2025-02-28,116.94,6.02,,-0.318,6.72,ICPAX,Energy
2025-03-31,116.94,5.95,,-0.318,6.66,ICPAX,Energy
2025-04-30,116.94,5.56,,-0.318,6.22,ICPAX,Energy
2025-05-30,116.94,6.03,,-0.318,6.75,ICPAX,Energy
2025-06-30,116.94,6.32,,-0.318,7.09,ICPAX,Energy
2025-07-31,116.94,6.51,,-0.318,7.3,ICPAX,Energy
2025-08-29,116.94,6.61,,-0.318,7.41,ICPAX,Energy
2025-09-30,116.94,6.88,,-0.318,7.72,ICPAX,Energy
2025-10-31,116.94,6.96,,-0.318,7.81,ICPAX,Energy
2015-10-30,77.07359,73.74,,0.9195,73.74,AKTROHS,Energy
2015-11-30,74.50737,71.86,,-0.7191,71.86,AKTROHS,Energy
2015-12-31,67.24477,65.72,,-0.9867,65.72,AKTROHS,Energy
2016-01-29,58.53926,57.07,,0.1307,57.07,AKTROHS,Energy
2016-02-29,63.35189,61.82,,-0.0965,62.31481267,AKTROHS,Energy
2016-03-31,71.61188,70.89,,-1.0672,71.457409741,AKTROHS,Energy
2016-04-29,81.42043,78.94,,1.5061,79.571842643,AKTROHS,Energy
2016-05-31,80.93023,76.23,,2.3516,76.840151567,AKTROHS,Energy
2016-06-30,81.27612,78.13,,-1.5923,78.755359332,AKTROHS,Energy
2016-07-29,86.11452,82.4,,0.3427,83.059536785,AKTROHS,Energy
2016-08-31,85.28934,82,,-0.4126,82.65633515,AKTROHS,Energy
2016-09-30,85.71947,82.39,,0.0547,83.049456744,AKTROHS,Energy
2016-10-31,89.43536,81.55,,0.1291,82.202733311,AKTROHS,Energy
2016-11-30,96.13654,87.94,,-1.4594,88.643879428,AKTROHS,Energy
2016-12-30,101.932,94.13,,-0.7081,94.883424728,AKTROHS,Energy
2017-01-31,102.8381,95.63,,-0.7261,96.395430858,AKTROHS,Energy
2017-02-28,102.0218,94.09,,0.1538,95.518041173,AKTROHS,Energy
2017-03-31,98.13974,91.04,,-1.2015,92.421750116,AKTROHS,Energy
2017-04-28,94.12163,87.31,,-0.4108,88.63513843,AKTROHS,Energy
2017-05-31,90.09745,83,,0.6223,84.259723854,AKTROHS,Energy
2017-06-30,87.80318,80.53,,-0.5265,81.752235686,AKTROHS,Energy
2017-07-31,89.80645796,83.34,,-1.0659,84.604884168,AKTROHS,Energy
2017-08-31,86.78331565,80.92,,-0.2973,82.14815487,AKTROHS,Energy
2017-09-29,92.20419845,86.43,,0.2078,87.741782321,AKTROHS,Energy
2017-10-31,91.95318657,86.47,,-0.3719,87.782389417,AKTROHS,Energy
2017-11-30,91.20002692,86.98,,-1.31,88.300129889,AKTROHS,Energy
2017-12-29,98.23420335,94.37,,-0.6799,95.802290844,AKTROHS,Energy
2018-01-31,97.7426305,96.48,,-1.4102,98.293185342,AKTROHS,Energy
2018-02-28,91.0590268,90.73,,-0.5224,92.435123405,AKTROHS,Energy
2018-03-30,87.18754963,86.76,,0.12,88.390513685,AKTROHS,Energy
2018-04-30,94.06253989,93.81,,-0.2425,95.573007017,AKTROHS,Energy
2018-05-31,96.3961036,97.01,,-0.8377,98.833145834,AKTROHS,Energy
2018-06-29,96.14213538,98.06,,-1.3523,99.902878883,AKTROHS,Energy
2018-07-31,94.60723428,97.23,,-0.7215,99.057280378,AKTROHS,Energy
2018-08-31,90.58052689,93.43,,-0.311,95.185865532,AKTROHS,Energy
2018-09-28,88.25813885,93.02,,-0.1199,94.768160246,AKTROHS,Energy
2018-10-31,78.82781971,83.95,,-0.6672,85.527704286,AKTROHS,Energy
2018-11-30,74.51934969,79.93,,-0.5438,81.432154897,AKTROHS,Energy
2018-12-31,64.25980544,71.09,,-0.4699,72.426021414,AKTROHS,Energy
2019-01-31,71.16480727,80.25,,-0.1127,81.758168778,AKTROHS,Energy
2019-02-28,72.45664523,82.52,,-0.7114,84.070829752,AKTROHS,Energy
2019-03-29,73.53519884,84.17,,-0.3642,85.75183883,AKTROHS,Energy
2019-04-30,74.34963558,85.53,,-0.3083,87.137397827,AKTROHS,Energy
2019-05-31,66.30834315,76.99,,-0.5088,78.436902358,AKTROHS,Energy
